Title,Quantity,Price,Discount
Capsicum - Green (Loose),1 kg,₹86,34% OFF
Carrot - Orange (Loose),1 kg,₹95,27% OFF
Cauliflower,Quantity not available,₹61,29% OFF
Coriander Leaves,1 kg,₹293,27% OFF
Cucumber,10 kg,₹490,Discount not available
Ladies' Fingers (Loose),1 kg,₹58,38% OFF
Onion (Loose),5 kg,₹200,43% OFF
Potato,5 kg,₹138.7,27% OFF
Tomato - Local,2 x 1 kg - Multipack,₹142,37% OFF
Beans - Haricot (Loose),1 kg,₹143,27% OFF
Atta/Godihittu - Whole Wheat,10 kg,₹436.79,19% OFF
Pure Ghee,2 x 1 L - Multipack,₹1260,Discount not available
Salt/Uppu - Iodized,2 kg,₹55,Discount not available
Sun Lite Refined Sunflower Oil,3 x 1 L - Multipack,₹306,₹27 OFF
Black Pepper/Kari Menasu,200 g - Pouch,₹230,18% OFF
"Sona Masoori Raw Rice/Akki - Super Premium, 12 + Months Old",25 kg - (12 + Months Old),₹1816,₹59 OFF
Organic - Cardamom/Elachi Green,2x50 g - Multipack,₹502,₹2 OFF
Organic - Raw Peanuts,2x1 kg - Multipack,₹358,33% OFF
"White Thick Poha - High In Fibre, For Breakfast & Evening Tea",2x1kg - Multipack,₹193.2,₹17 OFF
"Sugar - Pure & Hygienic, Fine Grain, Natural, Sulphur Free",5 kg,₹263.29,11% OFF
Namkeen - Mixture,Quantity not available,₹45,Discount not available
Marie Gold Biscuits,6x120 g - Multipack,₹114,₹6 OFF
"Nutri-licious Masala Veg Atta Noodles - Pouch, 290 g, Pack of 2",2x290 g - Multipack,₹188,16% OFF
Idly & Dosa Batter,2x1 kg - Multipack,₹176.22,₹2 OFF
Namkeen - Lite Chiwda,6x57 g - Multipack,₹60,Discount not available
Dark Fantasy - Choco Fills,3x300 g - (Multipack),₹294.03,42% OFF
2-Minute Instant Noodles - Masala,12x70 g - Multipack,₹157.92,₹10 OFF
"Idly Dosa Batter - Mildly Salted, Perfect Breakfast, Ready To Cook",2 kg,₹123,15% OFF
Rich Cocoa 70% Dark Chocolate Bar,3 x 80 g - Multipack,₹280.5,15% OFF
"Potato Chips -, India's Masala Magic, Party Pack",2x190 g - Multipack,₹132.59,15% OFF
Superior Sandalwood Oil Soap,150 g - Pack of 3,₹243,Discount not available
Bathing Soap - Ayurvedic Classic 18 Herbs,8x75 g - Multipack,₹240,Discount not available
Maxfresh Toothpaste - Spicy Fresh,600 g - (4 x 150 g),₹360,28% OFF
"Sanitary Pads - XL Wings, Ultra Clean",30 pcs,₹330,Discount not available
Liquid Handwash Refill - Skincare Moisturizing Hand Wash  Antibacterial Formula | 10x Better Germ Protection,675 ml - (Pack of 3 - 675ml each),₹282.15,₹15 OFF
Purifying Neem Face Wash,12x150 ml - Multipack,₹2160,12% OFF
"Ultra Clean Sanitary Pads For Women, XL+",2x50 pcs - (Multipack),₹872.9,34% OFF
Loreal Paris Total Repair 5 Shampoo with Keratin XS,1 L,₹712.5,37% OFF
"Whole Mouth Health, Antibacterial Toothpaste, 120gm + 120gm (Advanced Health, Saver Pack) (Pack of 3)",3x240 g - (Multipack),₹759.24,32% OFF
"Criss Cross Toothbrush - Medium, Anti-Plaque, Removes Up To 90% Germs, Family Pack",Quantity not available,₹160,Discount not available
Disinfectant Surface & Floor Cleaner Liquid - Citrus,5 L,₹827.08,₹72 OFF
Dishwash Bar - Lemon,3X500 g - Multipack,₹180,Discount not available
Green Lemon & Jasmine Detergent Powder,Quantity not available,₹66,10% OFF
Disinfectant Bathroom Cleaner Liquid - Lemon,1 L - (Pack of 2),₹374.32,₹24 OFF
"Garbage Bags - Medium, Green, 48 x 53 cm",Quantity not available,₹69,19% OFF
Pooja Oil,890 g,₹120.75,33% OFF
Disinfectant Surface & Floor Cleaner Liquid Refill Pack - Citrus,Quantity not available,₹324,14% OFF
Dishwash Liquid Gel Lemon Refill Pouch,Quantity not available,₹341,16% OFF
Capsicum - Green (Loose),1 kg,₹86,34% OFF
Carrot - Orange (Loose),1 kg,₹95,27% OFF
Cauliflower,Quantity not available,₹61,29% OFF
Coriander Leaves,1 kg,₹293,27% OFF
Cucumber,10 kg,₹490,Discount not available
Ladies' Fingers (Loose),1 kg,₹58,38% OFF
Onion (Loose),5 kg,₹200,43% OFF
Potato,5 kg,₹138.7,27% OFF
Tomato - Local,2 x 1 kg - Multipack,₹142,37% OFF
Beans - Haricot (Loose),1 kg,₹143,27% OFF
Atta/Godihittu - Whole Wheat,10 kg,₹436.79,19% OFF
Pure Ghee,2 x 1 L - Multipack,₹1260,Discount not available
Salt/Uppu - Iodized,2 kg,₹55,Discount not available
Sun Lite Refined Sunflower Oil,3 x 1 L - Multipack,₹306,₹27 OFF
Black Pepper/Kari Menasu,200 g - Pouch,₹230,18% OFF
"Sona Masoori Raw Rice/Akki - Super Premium, 12 + Months Old",25 kg - (12 + Months Old),₹1816,₹59 OFF
Organic - Cardamom/Elachi Green,2x50 g - Multipack,₹502,₹2 OFF
Organic - Raw Peanuts,2x1 kg - Multipack,₹358,33% OFF
"White Thick Poha - High In Fibre, For Breakfast & Evening Tea",2x1kg - Multipack,₹193.2,₹17 OFF
"Sugar - Pure & Hygienic, Fine Grain, Natural, Sulphur Free",5 kg,₹263.29,11% OFF
Namkeen - Mixture,Quantity not available,₹45,Discount not available
Marie Gold Biscuits,6x120 g - Multipack,₹114,₹6 OFF
"Nutri-licious Masala Veg Atta Noodles - Pouch, 290 g, Pack of 2",2x290 g - Multipack,₹188,16% OFF
Idly & Dosa Batter,2x1 kg - Multipack,₹176.22,₹2 OFF
Namkeen - Lite Chiwda,6x57 g - Multipack,₹60,Discount not available
Dark Fantasy - Choco Fills,3x300 g - (Multipack),₹294.03,42% OFF
2-Minute Instant Noodles - Masala,12x70 g - Multipack,₹157.92,₹10 OFF
"Idly Dosa Batter - Mildly Salted, Perfect Breakfast, Ready To Cook",2 kg,₹123,15% OFF
Rich Cocoa 70% Dark Chocolate Bar,3 x 80 g - Multipack,₹280.5,15% OFF
"Potato Chips -, India's Masala Magic, Party Pack",2x190 g - Multipack,₹132.59,15% OFF
Superior Sandalwood Oil Soap,150 g - Pack of 3,₹243,Discount not available
Bathing Soap - Ayurvedic Classic 18 Herbs,8x75 g - Multipack,₹240,Discount not available
Maxfresh Toothpaste - Spicy Fresh,600 g - (4 x 150 g),₹360,28% OFF
"Sanitary Pads - XL Wings, Ultra Clean",30 pcs,₹330,Discount not available
Liquid Handwash Refill - Skincare Moisturizing Hand Wash  Antibacterial Formula | 10x Better Germ Protection,675 ml - (Pack of 3 - 675ml each),₹282.15,₹15 OFF
Purifying Neem Face Wash,12x150 ml - Multipack,₹2160,12% OFF
"Ultra Clean Sanitary Pads For Women, XL+",2x50 pcs - (Multipack),₹872.9,34% OFF
Loreal Paris Total Repair 5 Shampoo with Keratin XS,1 L,₹712.5,37% OFF
"Whole Mouth Health, Antibacterial Toothpaste, 120gm + 120gm (Advanced Health, Saver Pack) (Pack of 3)",3x240 g - (Multipack),₹759.24,32% OFF
"Criss Cross Toothbrush - Medium, Anti-Plaque, Removes Up To 90% Germs, Family Pack",Quantity not available,₹160,Discount not available
Disinfectant Surface & Floor Cleaner Liquid - Citrus,5 L,₹827.08,₹72 OFF
Dishwash Bar - Lemon,3X500 g - Multipack,₹180,Discount not available
Green Lemon & Jasmine Detergent Powder,Quantity not available,₹66,10% OFF
Disinfectant Bathroom Cleaner Liquid - Lemon,1 L - (Pack of 2),₹374.32,₹24 OFF
"Garbage Bags - Medium, Green, 48 x 53 cm",Quantity not available,₹69,19% OFF
Pooja Oil,890 g,₹120.75,33% OFF
Disinfectant Surface & Floor Cleaner Liquid Refill Pack - Citrus,Quantity not available,₹324,14% OFF
Dishwash Liquid Gel Lemon Refill Pouch,Quantity not available,₹341,16% OFF
